,alpha,lambda,kl_divergence,recommendations,time
106,0.13,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",100.09230375289917
107,0.15,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",97.80591130256653
108,0.17,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",97.64742398262024
109,0.19,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel26177, hotel23, hotel14, hotel49, hotel11]",97.57953023910522
110,0.21,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel23, hotel26177, hotel14, hotel49, hotel11]",101.0137951374054
111,0.23,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel23, hotel26177, hotel14, hotel49, hotel11]",106.7234137058258
112,0.25,0.7,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel9505, hotel23, hotel26177, hotel14, hotel49, hotel11]",107.58445477485657
113,0.27,0.7,1.015872568727314,"[hotel26177, hotel2, hotel14697, hotel91516, hotel23, hotel36, hotel14, hotel49, hotel11, hotel9505]",105.14085674285889
114,0.29,0.7,1.015872568727314,"[hotel26177, hotel2, hotel14697, hotel91516, hotel23, hotel14, hotel36, hotel49, hotel11, hotel9505]",102.96170043945312
115,0.31,0.7,1.1463312666764112,"[hotel26177, hotel2, hotel14697, hotel91516, hotel23, hotel14, hotel49, hotel36, hotel11, hotel51]",103.99430799484253
116,0.33,0.7,1.506957303215703,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel36, hotel51]",99.525559425354
117,0.35,0.7,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35]",99.87851977348328
118,0.37,0.7,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35]",103.71232414245605
119,0.39,0.7,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35]",99.72417688369751
120,0.41,0.7,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel9505, hotel14, hotel49, hotel11, hotel51, hotel35]",94.90784049034119
121,0.43,0.7,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35]",89.41209006309509
122,0.45,0.7,1.702672746942214,"[hotel26177, hotel2, hotel14697, hotel23, hotel14, hotel9505, hotel49, hotel11, hotel51, hotel35]",89.2028455734253
